Specimen,Species,Clade,Age,CS,CS_logged,CS_percent_adult,Percent_binned,Discrete_age,PTA_age_group,Dev_strategy,Diet,Interfrontal,Fronto-parietal ,Interparietal ,Supraoccipito-parietal,Basispheno-presphenoid,Basispheno-basioccipital,Exoccipito-basioccipital,Exoccipito-squamosal,Exoccipito-supraoccipital,Alispheno-squamosal,Alispheno-orbitosphenoid,Orbitospheno-frontal,Fronto-squamosal,Parieto-squamosal,Supraoccipito-squamosal,Interpremaxillary,Intermaxillary,Premaxillo-maxillary (ventral),Interpalatine,Maxillo-palatine,Pterygo-palatine,Premaxillo-maxillary (facial),Premaxillo-nasal,Internasal,Maxillo-jugal,Maxillo-lacrimal,Naso-frontal,Lacrimo-frontal,Jugo-squamosal,Palato-alisphenoid,Palato-orbitosphenoid
Dasyprocta_leporina_NHMUK_52.1156,Dasyprocta leporina,Placental,A,390.9610401,5.968607913,100,Group4,A,Group4,Precocial,Herbivore,4,5,5,5,5,1,5,3,5,4,5,4,4,5,5,4,4,5,5,4,4,3,4,3,4,3,5,3,5,5,4
Dasyprocta_leporina_NHMUK_67.4.12.472,Dasyprocta leporina,Placental,I,200.4212802,5.300421552,51.26374744,Group2,I,Group2,Precocial,Herbivore,2,2,1,1,1,1,1,1,1,2,3,1,2,2,1,3,1,1,5,1,1,1,1,1,2,2,1,1,1,2,2
Dasyprocta_leporina_NHMUK_67.4.12.497,Dasyprocta leporina,Placental,I,207.4232045,5.334761172,53.05469938,Group2,I,Group2,Precocial,Herbivore,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,3,1,2,1,1,1,2,2,1,1,1,2,2
Dasyprocta_leporina_NHMUK_67.4.12.585_spec1,Dasyprocta leporina,Placental,E,75.18211318,4.319913346,19.23007806,Group1,E,Group1,Precocial,Herbivore,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1
Dasyprocta_leporina_NHMUK_67.4.12.585_spec2,Dasyprocta leporina,Placental,E,80.09008243,4.383152032,20.48543824,Group1,E,Group1,Precocial,Herbivore,1,2,1,1,1,1,1,1,1,3,1,1,3,2,1,4,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1
Dasyprocta_leporina_NHMUK_97.8.13.2,Dasyprocta leporina,Placental,I,281.0726874,5.63861331,71.89276132,Group3,I,Group2,Precocial,Herbivore,5,5,5,4,1,1,3,3,1,4,3,3,4,4,5,4,2,3,5,3,2,2,3,4,3,3,2,2,5,2,3
Dasyprocta_leporina_NHMUK_ZD.2021.1,Dasyprocta leporina,Placental,I,186.4839458,5.228345154,47.69885658,Group2,I,Group2,Precocial,Herbivore,1,1,1,1,1,1,1,1,1,2,1,2,3,2,1,5,1,1,4,2,1,1,1,1,3,2,1,1,1,1,1
Dasypus_novemcinctus_MNHN_1901-331,Dasypus novemcinctus,Placental,I,148.0826996,4.997770899,40.81705198,Group2,I,Group2,Precocial,Insectivore,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,3,2,2,3,5,1,2,2,2,1,2,1
Dasypus_novemcinctus_MNHN_1910-409b,Dasypus novemcinctus,Placental,I,169.7767179,5.13448415,46.7967233,Group2,I,Group2,Precocial,Insectivore,1,3,3,2,1,2,1,3,1,2,1,4,1,3,1,2,2,2,1,3,3,2,2,4,2,3,2,2,1,3,3
Dasypus_novemcinctus_MNHN_1910-410,Dasypus novemcinctus,Placental,I,163.8527501,5.098968159,45.16385935,Group2,I,Group2,Precocial,Insectivore,1,2,2,3,2,3,1,3,1,2,3,2,1,2,1,3,1,3,1,4,5,3,3,3,3,3,2,2,1,3,5
