,closure_score_%,Species
Phascolarctos_cincereus_Pcin3-7_21days,0,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-8_30days,0,Phascolarctos cincereus
Phascolarctos_cincereus_Pcin3-9_15days,0,Phascolarctos cincereus
Phascolarctos_cincereus_PcinLge02_100+days,66.12903226,Phascolarctos cincereus
Phascolarctos_cincereus_PcinLge03_100+days,62.90322581,Phascolarctos cincereus
Phascolarctos_cincereus_PcinLge05_60+days,8.064516129,Phascolarctos cincereus
Rattus_rattus_NHMUK_1997.69,37.90322581,Rattus rattus
Rattus_rattus_NHMUK_1999.14,64.51612903,Rattus rattus
Rattus_rattus_NHMUK_52.1111,48.38709677,Rattus rattus
Rattus_rattus_NHMUK_70.103,37.09677419,Rattus rattus
Rattus_rattus_NHMUK_79.1343,15.32258065,Rattus rattus
Setifer_setosus_NHMUK_1974.484,84.67741935,Setifer setosus
Setifer_setosus_NHMUK_55.12.26.304,48.38709677,Setifer setosus
Setifer_setosus_NHMUK_70.360,49.19354839,Setifer setosus
Setifer_setosus_NHMUK_74.545,37.09677419,Setifer setosus
Setifer_setosus_NHMUK_74.554,23.38709677,Setifer setosus
Setifer_setosus_NHMUK_76.273,56.4516129,Setifer setosus
Setifer_setosus_NHMUK_76.274,59.67741935,Setifer setosus
Setifer_setosus_NHMUK_79.545,63.70967742,Setifer setosus
Setonix_brachyurus_NHMUK_1989.580,7.258064516,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.581,9.677419355,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.582,14.51612903,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.583,32.25806452,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.584,26.61290323,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.585,35.48387097,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.586,33.87096774,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.587,37.90322581,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.588,42.74193548,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.589,40.32258065,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.590,49.19354839,Setonix brachyurus
Setonix_brachyurus_NHMUK_1989.591,43.5483871,Setonix brachyurus
Setonix_brachyurus_NHMUK_6.8.1.245,78.22580645,Setonix brachyurus
Sminthopsis_macroura_Smac54dPYA_No44_08_54days,37.09677419,Sminthopsis macroura
Sminthopsis_macroura_Smac64_9_09_64days,40.32258065,Sminthopsis macroura
Sminthopsis_macroura_SmacAdult33_08_adult,65.32258065,Sminthopsis macroura
Sminthopsis_macroura_Smacd19_19days,0,Sminthopsis macroura
Sminthopsis_macroura_Smacd22_22days,0,Sminthopsis macroura
Sminthopsis_macroura_Smacd31_31days,10.48387097,Sminthopsis macroura
Sminthopsis_macroura_SmacPYE74d_No14_08_74days,58.06451613,Sminthopsis macroura
Talpa_europaea_NHMUK_19.4.57,43.5483871,Talpa europaea
Talpa_europaea_NHMUK_1989.565,83.87096774,Talpa europaea
Talpa_europaea_NHMUK_57.366,30.64516129,Talpa europaea
Talpa_europaea_NHMUK_57.367,48.38709677,Talpa europaea
Talpa_europaea_NHMUK_57.368,16.93548387,Talpa europaea
Talpa_europaea_NHMUK_57.370,50,Talpa europaea
Talpa_europaea_NHMUK_57.371,18.5483871,Talpa europaea
Talpa_europaea_NHMUK_57.374,29.83870968,Talpa europaea
Trichosaurus_vulpecula_TV1_adult,43.5483871,Trichosaurus vulpecula
Trichosaurus_vulpecula_TV2_100days,41.12903226,Trichosaurus vulpecula
Trichosaurus_vulpecula_TV3_85days,15.32258065,Trichosaurus vulpecula
Trichosaurus_vulpecula_TV6_35-42days,3.225806452,Trichosaurus vulpecula
Trichosaurus_vulpecula_TV7_35days,3.225806452,Trichosaurus vulpecula
Trichosaurus_vulpecula_TV8_68days,8.064516129,Trichosaurus vulpecula
Trichosaurus_vulpecula_TVAC_14days,3.225806452,Trichosaurus vulpecula
Trichosaurus_vulpecula_TVPYE_15days,3.225806452,Trichosaurus vulpecula
Trichosaurus_vulpecula_TVPYK_21days,3.225806452,Trichosaurus vulpecula
