X,Specimen_name,Subclass,Major_clades,Species,Age,CS,CS_logged,CS_percent_adult,Discrete_age,Discrete_age_group,PTA_age_group,Dev_strategy,Diet,Diet_3_cats,Mars-plac,Coronoid
91,Ornithorhynchus_anatinus_NHMUK_90.12.4.5,Prototheria,Monotremata,Ornithorhynchus anatinus,A,327.6564754,5.791965728,100,A,Group4,Group4,Super-altricial,Carnivore,Faunivore,Monotreme,Tiny
92,Ornithorhynchus_anatinus_NHMUK_90.12.4.6,Prototheria,Monotremata,Ornithorhynchus anatinus,I,300.1782475,5.704376457,91.61370827,I,Group2,Group2,Super-altricial,Carnivore,Faunivore,Monotreme,Tiny
93,Ornithorhynchus_anatinus_NHMUK_no_number,Prototheria,Monotremata,Ornithorhynchus anatinus,I,302.458979,5.711945662,92.30978226,SA,Group3,Group3,Super-altricial,Carnivore,Faunivore,Monotreme,Tiny
94,Phacochoerus_aethiopicus_NHMUK_66.425,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,A,1465.473463,7.289933652,100,A,Group4,Group4,Precocial,Herbivore,Herbivore,Placental,Small
95,Phacochoerus_aethiopicus_NHMUK_66.428,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,1035.65095,6.942785445,70.67005825,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
96,Phacochoerus_aethiopicus_NHMUK_66.517,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,803.5290808,6.689013377,54.83068108,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
97,Phacochoerus_aethiopicus_NHMUK_66.523,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,944.0174923,6.850144696,64.41723553,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
98,Phacochoerus_aethiopicus_NHMUK_66.807_01AUG1962_spec2,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,E,337.3779192,5.821203724,23.02176926,E,Group1,Group1,Precocial,Herbivore,Herbivore,Placental,Small
99,Phacochoerus_aethiopicus_NHMUK_66.807_28AUG1962,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,E,359.3361574,5.884258322,24.52014086,E,Group1,Group1,Precocial,Herbivore,Herbivore,Placental,Small
100,Phacochoerus_aethiopicus_NHMUK_66.808_A,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,E,353.4430063,5.867722245,24.11800795,E,Group1,Group1,Precocial,Herbivore,Herbivore,Placental,Small
101,Phacochoerus_aethiopicus_NHMUK_66.811,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,411.8411608,6.020637743,28.10294224,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
102,Phacochoerus_aethiopicus_NHMUK_71.2124,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,1090.918161,6.99477497,74.44134531,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
103,Phacochoerus_aethiopicus_NHMUK_71.2125,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,1149.77733,7.047323577,78.457738,SA,Group3,Group3,Precocial,Herbivore,Herbivore,Placental,Small
104,Phacochoerus_aethiopicus_NHMUK_71.7.3.4,Eutheria,Laurasiatheria,Phacochoerus aethiopicus,I,593.9176848,6.386740732,40.52735855,I,Group2,Group2,Precocial,Herbivore,Herbivore,Placental,Small
105,Phascolarctos_cincereus_KoalasBottomMiddle_spec2,Metatheria,Marsupialia,Phascolarctos cincereus,I,260.5832059,5.562922219,52.54573099,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
106,Phascolarctos_cincereus_Pcin3-1_57days,Metatheria,Marsupialia,Phascolarctos cincereus,I,90.37996137,4.504022577,18.2248166,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
107,Phascolarctos_cincereus_Pcin3-13_51days,Metatheria,Marsupialia,Phascolarctos cincereus,I,74.68562597,4.31328765,15.06010641,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
108,Phascolarctos_cincereus_Pcin3-5_46days,Metatheria,Marsupialia,Phascolarctos cincereus,I,73.18727149,4.293021519,14.75796825,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
109,Phascolarctos_cincereus_Pcin3-6_25days,Metatheria,Marsupialia,Phascolarctos cincereus,I,49.30691805,3.898064397,9.942574935,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
110,Phascolarctos_cincereus_Pcin3-7_21days,Metatheria,Marsupialia,Phascolarctos cincereus,I,43.47890878,3.772275965,8.767376379,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
111,Phascolarctos_cincereus_Pcin3-8_30days,Metatheria,Marsupialia,Phascolarctos cincereus,I,60.88624648,4.109007311,12.27750774,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
112,Phascolarctos_cincereus_Pcin3-9_15days,Metatheria,Marsupialia,Phascolarctos cincereus,E,36.98384936,3.610481314,7.457669394,E,Group1,Group1,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
113,Phascolarctos_cincereus_PcinLge02_100+days,Metatheria,Marsupialia,Phascolarctos cincereus,A,495.916987,6.206408548,100,A,Group4,Group4,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
114,Phascolarctos_cincereus_PcinLge03_100+days,Metatheria,Marsupialia,Phascolarctos cincereus,I,468.5254163,6.149590351,94.47658148,SA,Group3,Group3,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
115,Phascolarctos_cincereus_PcinLge05_60+days,Metatheria,Marsupialia,Phascolarctos cincereus,I,428.7546204,6.060884775,86.45693365,I,Group2,Group2,Super-altricial,Herbivore,Herbivore,Marsupial,Medium
116,Rattus_rattus_NHMUK_1997.69,Eutheria,Euarchontoglires,Rattus rattus,I,107.7910767,4.680194879,79.81239412,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
117,Rattus_rattus_NHMUK_1999.14,Eutheria,Euarchontoglires,Rattus rattus,A,135.0555611,4.905686257,100,A,Group4,Group4,Altricial,Omnivore,Omnivore,Placental,Medium
118,Rattus_rattus_NHMUK_52.1111,Eutheria,Euarchontoglires,Rattus rattus,I,109.5993105,4.696831083,81.15127552,SA,Group3,Group3,Altricial,Omnivore,Omnivore,Placental,Medium
119,Rattus_rattus_NHMUK_70.103,Eutheria,Euarchontoglires,Rattus rattus,I,92.81493044,4.530607515,68.72351622,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
120,Rattus_rattus_NHMUK_79.1343,Eutheria,Euarchontoglires,Rattus rattus,I,89.84705789,4.498108868,66.52599653,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Medium
121,Setifer_setosus_NHMUK_1974.484,Eutheria,Afrotheria,Setifer setosus,A,171.6190953,5.145277459,100,A,Group4,Group4,Altricial,Omnivore,Omnivore,Placental,Large
122,Setifer_setosus_NHMUK_55.12.26.304,Eutheria,Afrotheria,Setifer setosus,I,104.531717,4.649490537,60.90914115,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
123,Setifer_setosus_NHMUK_70.360,Eutheria,Afrotheria,Setifer setosus,I,105.0931941,4.654847519,61.23630585,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
124,Setifer_setosus_NHMUK_74.545,Eutheria,Afrotheria,Setifer setosus,I,101.1381444,4.616487349,58.93175478,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
125,Setifer_setosus_NHMUK_74.554,Eutheria,Afrotheria,Setifer setosus,I,87.64278543,4.473269297,51.06820152,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
126,Setifer_setosus_NHMUK_76.273,Eutheria,Afrotheria,Setifer setosus,I,155.1016669,5.044080817,90.37552997,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
127,Setifer_setosus_NHMUK_76.274,Eutheria,Afrotheria,Setifer setosus,I,161.097765,5.082011417,93.86937084,SA,Group3,Group3,Altricial,Omnivore,Omnivore,Placental,Large
128,Setifer_setosus_NHMUK_79.545,Eutheria,Afrotheria,Setifer setosus,I,155.8352869,5.048799596,90.80299988,I,Group2,Group2,Altricial,Omnivore,Omnivore,Placental,Large
